SMILES,template
ClC1(C2=CC=CC(OC)=C2)N=N1,[*:2]-[#6]1:[#6](-[*:1]):[#6](:[#6]2:[#7&H1](:[#6](-[*:5]):[#6](-[*:4]):[#6]:2:[#6]:1-[*:3])-[H])-[H].[#17]-[#6]1(-[a:6])-[#7]=[#7]-1>>[*:5]-[#6]1:[#7]:[#6]2:[#6](:[#6](-[*:1]):[#6](-[*:2]):[#6](-[*:3]):[#6]:2:[#6](-[*:4]):[#6]:1-[a:6])-[H]
ClC1(C2=NC=CN=C2)N=N1,[*:2]-[#6]1:[#6](-[*:1]):[#6](:[#6]2:[#7&H1](:[#6](-[*:5]):[#6](-[*:4]):[#6]:2:[#6]:1-[*:3])-[H])-[H].[#17]-[#6]1(-[a:6])-[#7]=[#7]-1>>[*:5]-[#6]1:[#7]:[#6]2:[#6](:[#6](-[*:1]):[#6](-[*:2]):[#6](-[*:3]):[#6]:2:[#6](-[*:4]):[#6]:1-[a:6])-[H]
COC1=CC(C2=CC=CC=C2)=NO1,[*:1]-[#6]1:[#7]:[#8]:[#6](-[#8]-[*:2]):[#6]:1-[H].[#8]=[#16](-[#7]1:[#7]:[#7]:[#6](-[*:3]):[#6]:1-[H])(-[*:4])=[#8]>>[#8]=[#6](-[#8]-[*:3])-[#6]1:[#6](-[*:1]):[#7&H1](:[#6](-[*:3]):[#6]:1-[#7](-[#16](=[#8])(-[*:4])=[#8])-[H])-[H]
COC1=CC(C2=CC=C(C)C=C2)=NO1,[*:1]-[#6]1:[#7]:[#8]:[#6](-[#8]-[*:2]):[#6]:1-[H].[#8]=[#16](-[#7]1:[#7]:[#7]:[#6](-[*:3]):[#6]:1-[H])(-[*:4])=[#8]>>[#8]=[#6](-[#8]-[*:3])-[#6]1:[#6](-[*:1]):[#7&H1](:[#6](-[*:3]):[#6]:1-[#7](-[#16](=[#8])(-[*:4])=[#8])-[H])-[H]
COC1=CC(C2=CC=C(C)C=C2C)=NO1,[*:1]-[#6]1:[#7]:[#8]:[#6](-[#8]-[*:2]):[#6]:1-[H].[#8]=[#16](-[#7]1:[#7]:[#7]:[#6](-[*:3]):[#6]:1-[H])(-[*:4])=[#8]>>[#8]=[#6](-[#8]-[*:3])-[#6]1:[#6](-[*:1]):[#7&H1](:[#6](-[*:3]):[#6]:1-[#7](-[#16](=[#8])(-[*:4])=[#8])-[H])-[H]
COC1=CC(C2=CC=C(OC)C=C2)=NO1,[*:1]-[#6]1:[#7]:[#8]:[#6](-[#8]-[*:2]):[#6]:1-[H].[#8]=[#16](-[#7]1:[#7]:[#7]:[#6](-[*:3]):[#6]:1-[H])(-[*:4])=[#8]>>[#8]=[#6](-[#8]-[*:3])-[#6]1:[#6](-[*:1]):[#7&H1](:[#6](-[*:3]):[#6]:1-[#7](-[#16](=[#8])(-[*:4])=[#8])-[H])-[H]
COC1=CC(C2=CC=C(OCCO3)C3=C2)=NO1,[*:1]-[#6]1:[#7]:[#8]:[#6](-[#8]-[*:2]):[#6]:1-[H].[#8]=[#16](-[#7]1:[#7]:[#7]:[#6](-[*:3]):[#6]:1-[H])(-[*:4])=[#8]>>[#8]=[#6](-[#8]-[*:3])-[#6]1:[#6](-[*:1]):[#7&H1](:[#6](-[*:3]):[#6]:1-[#7](-[#16](=[#8])(-[*:4])=[#8])-[H])-[H]
COC1=CC(C2=CC=C(Br)C=C2)=NO1,[*:1]-[#6]1:[#7]:[#8]:[#6](-[#8]-[*:2]):[#6]:1-[H].[#8]=[#16](-[#7]1:[#7]:[#7]:[#6](-[*:3]):[#6]:1-[H])(-[*:4])=[#8]>>[#8]=[#6](-[#8]-[*:3])-[#6]1:[#6](-[*:1]):[#7&H1](:[#6](-[*:3]):[#6]:1-[#7](-[#16](=[#8])(-[*:4])=[#8])-[H])-[H]
COC1=CC(C2=CC=C(Cl)C=C2)=NO1,[*:1]-[#6]1:[#7]:[#8]:[#6](-[#8]-[*:2]):[#6]:1-[H].[#8]=[#16](-[#7]1:[#7]:[#7]:[#6](-[*:3]):[#6]:1-[H])(-[*:4])=[#8]>>[#8]=[#6](-[#8]-[*:3])-[#6]1:[#6](-[*:1]):[#7&H1](:[#6](-[*:3]):[#6]:1-[#7](-[#16](=[#8])(-[*:4])=[#8])-[H])-[H]
COC1=CC(C2=CC=C(C#N)C=C2)=NO1,[*:1]-[#6]1:[#7]:[#8]:[#6](-[#8]-[*:2]):[#6]:1-[H].[#8]=[#16](-[#7]1:[#7]:[#7]:[#6](-[*:3]):[#6]:1-[H])(-[*:4])=[#8]>>[#8]=[#6](-[#8]-[*:3])-[#6]1:[#6](-[*:1]):[#7&H1](:[#6](-[*:3]):[#6]:1-[#7](-[#16](=[#8])(-[*:4])=[#8])-[H])-[H]
COC1=CC(C2=CC=C([N+]([O-])=O)C=C2)=NO1,[*:1]-[#6]1:[#7]:[#8]:[#6](-[#8]-[*:2]):[#6]:1-[H].[#8]=[#16](-[#7]1:[#7]:[#7]:[#6](-[*:3]):[#6]:1-[H])(-[*:4])=[#8]>>[#8]=[#6](-[#8]-[*:3])-[#6]1:[#6](-[*:1]):[#7&H1](:[#6](-[*:3]):[#6]:1-[#7](-[#16](=[#8])(-[*:4])=[#8])-[H])-[H]
CC(C)(C)OC1=CC(C2=CC=CC=C2)=NO1,[*:1]-[#6]1:[#7]:[#8]:[#6](-[#8]-[*:2]):[#6]:1-[H].[#8]=[#16](-[#7]1:[#7]:[#7]:[#6](-[*:3]):[#6]:1-[H])(-[*:4])=[#8]>>[#8]=[#6](-[#8]-[*:3])-[#6]1:[#6](-[*:1]):[#7&H1](:[#6](-[*:3]):[#6]:1-[#7](-[#16](=[#8])(-[*:4])=[#8])-[H])-[H]
CC1=NOC(OC)=C1,[*:1]-[#6]1:[#7]:[#8]:[#6](-[#8]-[*:2]):[#6]:1-[H].[#8]=[#16](-[#7]1:[#7]:[#7]:[#6](-[*:3]):[#6]:1-[H])(-[*:4])=[#8]>>[#8]=[#6](-[#8]-[*:3])-[#6]1:[#6](-[*:1]):[#7&H1](:[#6](-[*:3]):[#6]:1-[#7](-[#16](=[#8])(-[*:4])=[#8])-[H])-[H]
